Pekerjaan,Keyword TE,Keyword EB,Keyword KI,Keyword MK
Elit Politik,Tidak Berkomentar,Tidak berkomentar,Cuaca Ekstrem,"Komoditas Perekonomian, Dampak Tambang"
Birokrasi,"Energi Terbarukan, PLTU","PLTS, Panel Terapung Laut","Cuaca Ekstrem, Deforestasi","Dampak Tambang, Deforestasi, Emisi Karbon"
Elit Politik,"Bio Energi, Alternatif BBM",Energi surya,Cuaca Ekstrem,Pemanfaatan Tambang
Birokrasi,Tidak Berkomentar,Minyak bumi,Cuaca Ekstrem,Pasokan Mineral Menurun
Elit Politik,"Baterai Nikel, Teknologi","Dampak PLTA, Kerugian Petani",Pencemaran,Dampak Tambang
Birokrasi,"Energi Terbarukan, Energi Air",Energi nuklir,Cuaca Ekstrem,Tidak Tahu
Elit Politik,"Dampak Iklim, Energi Alternatif, Minyak Bumi","PLTA, Energi Terbarukan,","Emisi Karbon, Efek Rumah Kaca","Nikel, Sumber Daya Terbatas"
Elit Politik,"Energi Ramah Lingkungan, Baterai Nikel, Alternatif BBM, Emisi Karbon","Energi Surya, Biaya, Edukasi, Tenaga Matahari","Cuaca Ekstrem, Emisi Global","Nikel, Kerusakan Lingkungan"
Birokrasi,"Energi Terbarukan, Bahan Bakar Baru",Kendaraan listrik,Cuaca Ekstrem,Tidak Tahu
Elit Politik,Tidak Berkomentar,"Energi Terbarukan, Sumber Energi, Tenaga Matahari, Panas Bumi, Tenaga Angin, Tenaga Air, biomassa",Efek Rumah Kaca,"Aset Pendapatan Daerah, Kerusakan Lingkungan"
Elit Politik,"Emisi Karbon, BBM, PLTU","PLTU, emisi","Emisi Karbon, Pencemaran","Nikel, Perekonomian Nasional"
Elit Politik,"Energi Alternatif, Baterai Nikel","Energi ramah lingkunganEnergi Ramah Lingkungan, Energi dari Sumber Daya Alam","Pemanasan Global, Cuaca Ekstrem","Mineral, Dampak Polusi"
Elit Politik,Tidak Berkomentar,Kendaraan listrik,Cuaca Ekstrem,Tidak Tahu
