Pekerjaan,Transisi Energi,Energi Baru Terbarukan,Krisis/Perubahan Iklim,Mineral Kritis
Elit Politik,Belum,Belum,Belum,Belum
Birokrasi,Belum,Belum,Belum,Belum
Elit Politik,Belum,Belum,Belum,Belum
Birokrasi,Sudah,Tidak Tahu,Sudah,Sudah
Elit Politik,Belum,Belum,Sudah,Sudah
Birokrasi,Belum,Sudah,Sudah,Sudah
Elit Politik,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu
Elit Politik,Belum,Belum,Belum,Belum
Birokrasi,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu
Elit Politik,Belum,Belum,Belum,Belum
Elit Politik,Belum,Belum,Belum,Belum
Elit Politik,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu
Elit Politik,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu
Elit Politik,Belum,Tidak Tahu,Tidak Tahu,Tidak Tahu
Sipil,Belum,Belum,Belum,Belum
Birokrasi,Belum,Belum,Sudah,Belum
Birokrasi,Belum,Belum,Belum,Belum
Birokrasi,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu
Elit Politik,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu
Birokrasi,Sudah,Sudah,Sudah,Sudah
Swasta,Belum,Belum,Belum,Belum
Elit Politik,Sudah,Sudah,Sudah,Sudah
Birokrasi,Sudah,Sudah,Sudah,Sudah
Birokrasi,Sudah,Sudah,Sudah,Sudah
Birokrasi,Sudah,Sudah,Sudah,Sudah
Elit Politik,Belum,Belum,Belum,Belum
Sipil,Sudah,Sudah,Sudah,Sudah
Birokrasi,Sudah,Sudah,Sudah,Sudah
Elit Politik,Tidak Tahu,Tidak Tahu,,Tidak Tahu
Elit Politik,Sudah,Sudah,Sudah,Sudah
Elit Politik,Sudah,Sudah,Sudah,Sudah
Elit Politik,Sudah,Sudah,Sudah,Sudah
Elit Politik,Belum,Belum,Belum,Belum
Sipil,Belum,Belum,Belum,Belum
Elit Politik,Belum,Belum,Belum,Belum
Elit Politik,Belum,Belum,Belum,Belum
Elit Politik,Belum,Belum,Belum,Belum
Swasta,Belum,Belum,Belum,Belum
Elit Politik,Belum,Belum,Sudah,Belum
Birokrasi,Tidak Tahu,Tidak Tahu,Tidak Tahu,Tidak Tahu
Sipil,Belum,Belum,Belum,Belum
Elit Politik,Belum,Belum,Belum,Belum
Elit Politik,Belum,Belum,Belum,Belum
Elit Politik,Belum,Belum,Belum,Belum
