Pekerjaan,"Apabila isu Transisi Energi dibicarakan di Pilkada, apa alasannya?","Apabila isu Energi Baru Terbarukan dibicarakan di Pilkada, apa alasannya?","Apabila isu Krisis Iklim/Perubahan Iklim dibicarakan di Pilkada, apa alasannya?","Apabila isu Mineral Kritis dibicarakan di Pilkada, apa alasannya?"
Elit Politik,Response,Response,Response,Response
Birokrasi,Lainnya,Lainnya,Karena mengintegrasikan kebijakan krisis iklim dalam pembangunan daerah dapat mengurangi risiko bencana dan kerugian ekonomi.,Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Lainnya,Karena potensi alam yang dimiliki oleh Sulawesi Tengah sangat mendukung untuk Transisi Energi,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,Karena mengintegrasikan kebijakan krisis iklim dalam pembangunan daerah dapat mengurangi risiko bencana dan kerugian ekonomi.,Karena kebijakan yang tepat terkait eksploitasi mineral kritis dapat mencegah kerusakan lingkungan
Birokrasi,Lainnya,Lainnya,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",
Birokrasi,Karena transisi menuju pemanfaatan sumber-sumber energi terbarukan (misal: PLTU) masih dihadapkan pada masalah sosial dan lingkungan,Karena penggunaan energi fosil berdampak buruk bagi lingkungan,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pemimpin daerah yang peduli terhadap isu mineral kritis dapat memastikan bahwa eksploitasi sumber daya dilakukan secara bertanggung jawab dan bermanfaat bagi seluruh masyarakat.
Elit Politik,Karena transisi energi menjadi perhatian dan komitmen dunia saat ini,Karena transisi energi menjadi salah satu solusi di tengah kelangkaan pasokan energi fosil,"Karena dampak krisis iklim dirasakan langsung oleh masyarakat lokal, seperti banjir, kekeringan, dan cuaca ekstrem",Karena pengelolaan mineral kritis yang baik oleh pemerintah daerah dapat menciptakan perlindungan hak-hak masyarakat lokal dan adat dalam kawasan yang kaya mineral kritis.
