Pekerjaan,Transisi Energi,Energi Baru Terbarukan,Krisis/Perubahan Iklim,Mineral Kritis
Elit Politik,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Tidak Tahu
Elit Politik,Ya,Tidak,Ya,Tidak Tahu
Sipil,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Tidak Tahu,Tidak Tahu,Ya,Tidak Tahu
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Swasta,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Sipil,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Sipil,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,,,,
Elit Politik,Ya,Ya,Ya,Ya
Swasta,Tidak,Ya,Ya,Tidak
Elit Politik,Tidak Tahu,Ya,Ya,Tidak Tahu
Birokrasi,Ya,Ya,Ya,Ya
Sipil,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Tidak Tahu
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Swasta,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Sipil,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
,,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Tidak
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Tidak,Ya
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Birokrasi,Ya,Ya,Ya,Ya
Sipil,Ya,,,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Sipil,Ya,Ya,Ya,
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Swasta,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Sipil,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Elit Politik,Ya,Ya,Ya,Ya
Sipil,Ya,Ya,Ya,Ya
